   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
   2.92968750E-03   1.04743188E-05   1.10814308E-05   1.04568893E-05   6.04004512E-07  -8.87962771E-06   6.62950372E-06
   5.85937500E-03   2.09327331E-05   2.21464440E-05   2.08981410E-05   1.20291983E-06  -1.77437942E-05   1.32522734E-05
   8.78906250E-03   3.13593854E-05   3.31786695E-05   3.13081614E-05   1.79166953E-06  -2.65770802E-05   1.98615940E-05
   1.17187500E-02   4.17385124E-05   4.41618315E-05   4.16714439E-05   2.36520265E-06  -3.53641504E-05   2.64507889E-05
   1.46484375E-02   5.20544916E-05   5.50797959E-05   5.19726122E-05   2.91850636E-06  -4.40897946E-05   3.30132387E-05
   1.75781250E-02   6.22918877E-05   6.59166162E-05   6.21964636E-05   3.44661850E-06  -5.27389695E-05   3.95423999E-05
   2.05078125E-02   7.24354978E-05   7.66565799E-05   7.23280109E-05   3.94463999E-06  -6.12968389E-05   4.60318236E-05
   2.34375000E-02   8.24703973E-05   8.72842533E-05   8.23525239E-05   4.40774704E-06  -6.97488138E-05   5.24751735E-05
   2.63671875E-02   9.23819832E-05   9.77845259E-05   9.22555705E-05   4.83120322E-06  -7.80805918E-05   5.88662441E-05
   2.92968750E-02   1.02156018E-04   1.08142654E-04   1.02023056E-04   5.21037116E-06  -8.62781949E-05   6.51989775E-05
   3.22265625E-02   1.11778670E-04   1.18344302E-04   1.11641263E-04   5.54072414E-06  -9.43280074E-05   7.14674809E-05
   3.51562500E-02   1.21236559E-04   1.28375585E-04   1.21096886E-04   5.81785723E-06  -1.02216812E-04   7.76660426E-05
   3.80859375E-02   1.30516788E-04   1.38223106E-04   1.30377070E-04   6.03749815E-06  -1.09931823E-04   8.37891477E-05
   4.10156250E-02   1.39606988E-04   1.47873996E-04   1.39469448E-04   6.19551783E-06  -1.17460723E-04   8.98314935E-05
   4.39453125E-02   1.48495354E-04   1.57315949E-04   1.48362164E-04   6.28794042E-06  -1.24791691E-04   9.57880034E-05
   4.68750000E-02   1.57170673E-04   1.66537259E-04   1.57043918E-04   6.31095304E-06  -1.31913438E-04   1.01653841E-04
   4.98046875E-02   1.65622365E-04   1.75526848E-04   1.65503984E-04   6.26091494E-06  -1.38815229E-04   1.07424423E-04
   5.27343750E-02   1.73840512E-04   1.84274304E-04   1.73732245E-04   6.13436632E-06  -1.45486916E-04   1.13095430E-04
   5.56640625E-02   1.81815882E-04   1.92769902E-04   1.81719216E-04   5.92803651E-06  -1.51918961E-04   1.18662819E-04
   5.85937500E-02   1.89539963E-04   2.01004637E-04   1.89456066E-04   5.63885174E-06  -1.58102456E-04   1.24122833E-04
   6.15234375E-02   1.97004983E-04   2.08970246E-04   1.96934645E-04   5.26394231E-06  -1.64029150E-04   1.29472010E-04
   6.44531250E-02   2.04203935E-04   2.16659228E-04   2.04147498E-04   4.80064921E-06  -1.69691465E-04   1.34707193E-04
   6.73828125E-02   2.11130597E-04   2.24064871E-04   2.11087887E-04   4.24653018E-06  -1.75082514E-04   1.39825534E-04
   7.03125000E-02   2.17779548E-04   2.31181260E-04   2.17749801E-04   3.59936512E-06  -1.80196112E-04   1.44824502E-04
   7.32421875E-02   2.24146184E-04   2.38003300E-04   2.24127974E-04   2.85716096E-06  -1.85026796E-04   1.49701890E-04
   7.61718750E-02   2.30226735E-04   2.44526725E-04   2.30217889E-04   2.01815583E-06  -1.89569829E-04   1.54455815E-04
